run_id,model,source_training_protocol,evaluation_protocol,seed,probe_images,probe_identities,gallery_images,gallery_identities,cmc_rank_1,rank_1_ci_low,rank_1_ci_high,cmc_rank_5,mean_average_precision,map_ci_low,map_ci_high
matrix_efficientnetb0_ablation_geometric_only_seed1__holstein2025_zero_shot_reid,efficientnetb0,ablation_geometric_only,holstein2025_zero_shot_reid,1,167,20,127,20,0.5449101796407185,0.41714285714285715,0.6602564102564102,0.8203592814371258,0.3707162516406056,0.3056340963490865,0.4406930648990246
matrix_efficientnetb0_ablation_no_cutout_seed1__holstein2025_zero_shot_reid,efficientnetb0,ablation_no_cutout,holstein2025_zero_shot_reid,1,167,20,127,20,0.5329341317365269,0.4100805450369359,0.6500150602409638,0.8263473053892215,0.37033320006115683,0.30537721368969883,0.44039033337746497
matrix_efficientnetb0_paper_random_seed1__holstein2025_zero_shot_reid,efficientnetb0,paper_random,holstein2025_zero_shot_reid,1,167,20,127,20,0.5508982035928144,0.42072477827050997,0.6687520292207791,0.8203592814371258,0.37194976497891,0.3065080550689121,0.44256465485255847
matrix_efficientnetb0_transform_holdout_seed1__holstein2025_zero_shot_reid,efficientnetb0,transform_holdout,holstein2025_zero_shot_reid,1,167,20,127,20,0.5508982035928144,0.42072477827050997,0.6687520292207791,0.8263473053892215,0.3712060912928813,0.30667592491646006,0.4412887085010962
matrix_efficientnetv2b3_ablation_224_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,ablation_224,holstein2025_zero_shot_reid,1,167,20,127,20,0.5149700598802395,0.414758438676708,0.6133333333333333,0.8083832335329342,0.33158401203826576,0.2726084518350542,0.39925435777728535
matrix_efficientnetv2b3_ablation_cutout_only_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,ablation_cutout_only,holstein2025_zero_shot_reid,1,167,20,127,20,0.6107784431137725,0.479968085106383,0.7337746790781472,0.8562874251497006,0.39243079918386103,0.32133428878160936,0.47085184981982237
matrix_efficientnetv2b3_ablation_frozen_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,ablation_frozen,holstein2025_zero_shot_reid,1,167,20,127,20,0.6107784431137725,0.479968085106383,0.7337746790781472,0.8562874251497006,0.39382676116696763,0.321497055138396,0.4716154150249274
matrix_efficientnetv2b3_ablation_geometric_only_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,ablation_geometric_only,holstein2025_zero_shot_reid,1,167,20,127,20,0.6107784431137725,0.479968085106383,0.7337746790781472,0.8562874251497006,0.3903037972619968,0.3195083493303842,0.468546504505125
matrix_efficientnetv2b3_ablation_no_cutout_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,ablation_no_cutout,holstein2025_zero_shot_reid,1,167,20,127,20,0.6107784431137725,0.479968085106383,0.7337746790781472,0.8622754491017964,0.39141259364234043,0.32042196044112714,0.4696482371265746
matrix_efficientnetv2b3_paper_random_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,paper_random,holstein2025_zero_shot_reid,1,167,20,127,20,0.6107784431137725,0.479968085106383,0.7337746790781472,0.8562874251497006,0.39300641339752146,0.3218158828718725,0.47165875510291394
matrix_efficientnetv2b3_transform_holdout_seed1__holstein2025_zero_shot_reid,efficientnetv2b3,transform_holdout,holstein2025_zero_shot_reid,1,167,20,127,20,0.6107784431137725,0.479968085106383,0.7337746790781472,0.8502994011976048,0.39287297533655824,0.32157022597896107,0.4713524105916798
