run_id,model,protocol,samples,accuracy,macro_precision,macro_recall,macro_f1,top_5_accuracy,seconds_per_image,parameter_count,model_size_mib
matrix_efficientnetb0_ablation_geometric_only_seed1,efficientnetb0,ablation_geometric_only,933,0.9967845659163987,0.997588424437299,0.9967845659163987,0.996692696371153,1.0,0.12952811949517937,4447962,72.81937217712402
matrix_efficientnetv2b3_ablation_geometric_only_seed1,efficientnetv2b3,ablation_geometric_only,933,0.9989281886387996,0.9991961414790996,0.9989281886387994,0.998897565457051,1.0,0.0966488342840305,13408629,127.9738883972168
matrix_convnexttiny_ablation_no_cutout_seed1,convnexttiny,ablation_no_cutout,1555,0.9967845659163987,0.997320471596999,0.9967845659163987,0.996752086784241,1.0,0.07559326945787823,28059287,494.1482343673706
matrix_efficientnetb0_ablation_no_cutout_seed1,efficientnetb0,ablation_no_cutout,1555,0.9993569131832798,0.9994640943193999,0.9993569131832798,0.9993504173568482,1.0,0.08019255232090013,4447962,72.81937217712402
matrix_efficientnetv2b3_ablation_no_cutout_seed1,efficientnetv2b3,ablation_no_cutout,1555,0.9987138263665595,0.9990813045475425,0.9987138263665596,0.9986602357984996,1.0,0.05846990730803768,13408629,127.9738883972168
matrix_convnexttiny_holstein2025_closed_set_seed1,convnexttiny,holstein2025_closed_set,754,0.7122015915119363,0.7272561160742652,0.6668785643111702,0.6718816328470948,0.9310344827586207,0.15440949828381845,27883186,490.78937339782715
matrix_efficientnetb0_holstein2025_closed_set_seed1,efficientnetb0,holstein2025_closed_set,754,0.7546419098143236,0.7608813184390848,0.7104416327859844,0.7188615222955609,0.9416445623342176,0.13343495138196065,4154613,67.22418308258057
matrix_efficientnetv2b3_holstein2025_closed_set_seed1,efficientnetv2b3,holstein2025_closed_set,754,0.6989389920424404,0.7211720146898165,0.6581253844572201,0.660493809402801,0.9098143236074271,0.11275733200397918,13056656,121.26053524017334
convnexttiny_paper_random_20260706_072113,convnexttiny,paper_random,1866,0.9962486602357985,0.9966314500076559,0.9962486602357986,0.9962299222749383,1.0,0.07206926418649517,28059287,494.1482343673706
matrix_convnexttiny_paper_random_seed1,convnexttiny,paper_random,1866,0.9962486602357985,0.9968994028479561,0.9962486602357986,0.9962577615310735,0.9994640943193998,0.07233913167148964,28059287,494.1482343673706
matrix_efficientnetb0_paper_random_seed1,efficientnetb0,paper_random,1866,0.9989281886387996,0.9990813045475425,0.9989281886387996,0.9989206934544556,1.0,0.07218854472775982,4447962,72.81937217712402
efficientnetv2b3_paper_random_20260706_065243,efficientnetv2b3,paper_random,1866,0.9994640943193998,0.9995406522737713,0.9994640943193999,0.9994603467272278,1.0,0.04713901365112529,13408629,127.9738883972168
matrix_efficientnetv2b3_paper_random_seed1,efficientnetv2b3,paper_random,1866,0.9983922829581994,0.998736793752871,0.9983922829581994,0.9983579121842787,1.0,0.04730287171704198,13408629,127.9738883972168
matrix_convnexttiny_transform_holdout_seed1,convnexttiny,transform_holdout,1244,0.9943729903536977,0.9957127545551981,0.9943729903536977,0.994355126831011,1.0,0.10959275111093199,28059287,494.1482343673706
matrix_efficientnetb0_transform_holdout_seed1,efficientnetb0,transform_holdout,1244,1.0,1.0,1.0,1.0,1.0,0.11058114856993548,4447962,72.81937217712402
efficientnetv2b3_transform_holdout_20260706_082034,efficientnetv2b3,transform_holdout,1244,0.9991961414790996,0.9993569131832798,0.9991961414790996,0.9991833818200377,1.0,0.06949943801446995,13408629,127.9738883972168
matrix_efficientnetv2b3_transform_holdout_seed1,efficientnetv2b3,transform_holdout,1244,0.9991961414790996,0.9993569131832798,0.9991961414790996,0.9991833818200377,1.0,0.0756106532025717,13408629,127.9738883972168
